date	forks	stargazers
2014-02-18	194	208
2014-02-25	200	246
2014-02-27	201	269
2014-02-28	202	270
2014-03-01	202	271
2014-03-05	202	271
2014-03-10	203	271
2014-03-12	204	271
2014-03-13	204	272
2014-03-21	204	273
2014-03-27	206	276
2014-04-13	209	283
2014-05-06	210	296
2014-05-13	215	355
2014-05-19	219	382
2014-05-26	222	389
2014-06-27	233	414
2014-06-30	232	425
2014-07-01	232	425
2014-07-22	235	448
2014-08-12	238	460
2014-08-16	238	463
2014-08-26	243	483
2014-08-27	243	493
2014-08-31	244	499
2014-09-14	248	519
2014-09-16	265	548
2014-09-24	302	576
2014-09-25	303	582
2014-09-28	305	585
2014-10-01	305	602
2014-10-31	314	643
2014-11-10	314	650
2014-11-11	314	651
2014-11-15	315	653
2014-11-25	340	664
2014-12-06	345	672
2014-12-09	348	685
2014-12-10	349	686
2014-12-16	350	689
2014-12-18	350	689
2015-01-04	352	702
2015-01-06	356	712
2015-01-09	358	714
2015-01-18	362	719
2015-01-22	363	719
2015-01-23	364	720
2015-01-27	368	756
2015-02-12	375	777
2015-02-16	377	781
2015-02-22	379	795
2015-02-26	379	794
2015-03-05	377	807
2015-03-19	377	814
2015-03-24	378	816
2015-03-25	379	816
2015-03-30	379	817
2015-03-31	379	818
2015-04-02	380	821
2015-04-07	386	830
2015-04-08	386	835
2015-04-09	386	856
2015-04-10	384	863
2015-04-13	385	868
2015-04-16	386	874
2015-04-20	386	878
2015-05-07	389	890
2015-05-15	392	900
2015-05-27	396	924
2015-06-01	400	939
2015-06-08	402	949
2015-06-15	403	955
2015-06-26	404	967
2015-07-16	415	990
2015-07-23	420	1005
2015-07-25	421	1020
2015-07-27	421	1032
2015-07-28	422	1041
2015-07-29	422	1047
2015-07-30	422	1048
2015-08-02	422	1049
2015-08-08	472	1055
2015-08-11	473	1057
2015-08-12	474	1060
2015-08-16	474	1068
2015-08-20	476	1076
2015-08-23	475	1077
2015-08-31	496	1150
2015-09-01	495	1151
